,quotes,length
189,If logic is supposed to lack a substantial content the fault is not with its subject matter but with the way in which this matter is grasped,140.0
190," [logic] cannot be justified in any other way than by this emergence in consciousness, all the forms of which are resolved into this notion",139.0
191,A definition of science−or more precisely of logic−has its proof solely in the already mentioned necessity of its emergence in consciousness,140.0
192,"Argumentation is open to the most manifold and various opinions, on which a decision can finally be determined only arbitrarily",127.0
193,It is only in absolute knowing that separation of the object from the certainty of itself is completely eliminated,114.0
194,Thus pure science presupposes liberation from the opposition of consciousness.,78.0
195,"Logic is to be understood as the system of pure reason, as the realm of pure thought",84.0
196,One must discard the prejudice that truth must be something tangible.,69.0
197,Only in its notion does a thing possess actuality; to the extent that it is distinct from its notion it ceases to be actual & is a nonentity,140.0
198, now if logic has not undergone any change since aristotle ... then surely ... it is all the more in need of a total reconstruction; ,133.0
199,"The addition of psychological, pedagogic & physiological material which logic received in the past has now been recognised as disfigurement",139.0
200,The method is the consciousness of the form of the inner self−movement of the content of logic,94.0
201,The negative is just as much positive - hegel,45.0
202,"What is self−contradictory does not resolve itself into a nullity, ... but essentially only into the negation of its particular content",135.0
203,The result essentially contains that from which it results;,59.0
204,"Because the result, the negation, is a specific negation, it has content",72.0
205,"[the result of negation] is richer by the negation or opposite of its predecessor, therefore contains it, but also something more",129.0
206,The method which i follow in this system of logic −− or rather which this system in its own self follows −−,107.0
207,That which enables the notion to advance itself is the already mentioned negative which it possesses within itself,114.0
208,"If no advance is made beyond the abstract negative aspect of dialectic, the result is only that reason is incapable of knowing the infinite",139.0
209,It is only after profounder acquaintance with the other sciences that logic ceases to be for subjective spirit a merely abstract universal,138.0
210,The value of logic is only apprehended when it is preceded by experience of the sciences - hegel,96.0
211,"The system of logic is the realm of shadows, the world of simple essentialities freed from all sensuous concreteness",116.0
212,"In the philosophical treatment of classification, the notion itself must show that it is itself the course of those determinations. ",132.0
213,"In [logic] the opposition in consciousness between a subject, and a second an object, is known to be overcome; ",111.0
214,"Because they are at the same time known as distinct (yet not with an independent being), their unity is not abstract and inert, but concrete",140.0
215,"We must not understand the judgment as a resolving of a concrete unity back into its determinations, as if these had independent subsistence",140.0
216,It is easy to perceive that such an abstraction as the thing−in−itself is itself only a product of thought,106.0
217,"An object is a thought, and to determine it means partly, first to produce it, and partly, to have further thoughts about it",124.0
218,It is first and immediately ontology whose place is taken by objective logic,76.0
219,The subjective logic is the logic of the ... the subject itself,63.0
220,"What philosophy begins with must be either mediated or immediate, & it can be neither one nor the other; either way of beginning is refuted",139.0
221,In this science of manifested spirit the beginning is made from empirical consciousness - this is immediate knowledge in the strict sense,137.0
222,"Logic is pure science, that is, pure knowledge in the entire range of its development",85.0
223,"Thus the principle ought also to be the beginning, and what is the first for thought ought also to be the first in the process of thinking.",139.0
224,"There is nothing, nothing in heaven, or in nature or in mind or anywhere else which does not equally contain both immediacy and mediation",137.0
225,[mediation and immediacy] reveal themselves to be unseparated and inseparable and the opposition between them to be a nullity,125.0
226,All that is needed to ensure that the beginning remains immanent in its scientific development is simply to take up what is there before us.,140.0
227,"Pure knowing is without any distinction & as thus distinctionless, ceases itself to be knowledge; what is present is only simple immediacy",138.0
228,"This simple immediacy, therefore, in its true expression is pure being",70.0
229,"If no presupposition is made & the beginning itself is taken immediately, then its only determination is that it is the beginning of logic",138.0
230,Absolute truth must be a result,31.0
231,Thus consciousness on its onward path from the immediacy with which it began is led back to absolute knowledge as its innermost truth,133.0
232,The whole of the science of logic must be within itself a circle in which the first is also the last and the last is also the first. ,133.0
233,"Absolute spirit at the end of the development is known as freely externalising itself, abandoning itself to the shape of an immediate being ",140.0
234,"On the other hand, it is equally necessary to consider as result that into which the movement returns as into its ground",120.0
235,The progress from that which forms the beginning is to be regarded as only a further determination of it,104.0
236,That which forms the starting point of the development remains at the base of all that follows and does not vanish from it.,123.0
237,"This pure being is the unity into which pure knowing withdraws,",63.0
238,"Here at the start, where the subject matter itself is not yet to hand, philosophy is an empty word or some assumed, unjustified conception",138.0
239,"Pure being is to be considered as the unity into which knowing has collapsed at the extreme point of its union with the object,",127.0
240,"In the beginning, being and nothing are present as distinguished from each other;",81.0
241,"That which begins already is, but equally, too, is not as yet.",62.0
242,"That which constitutes the beginning, the beginning itself, is to be taken as something unanalysable, taken in its simple unfilled immediacy",140.0
243,"Absolute truth must be a result, and a result presupposes a prior truth",71.0
244,"Absolute spirit reveals itself as freely externalising itself, abandoning itself to the shape of an immediate being",115.0
245,It is equally necessary to consider as result that into which the movement returns as into its ground.,102.0
246,"The beginning of philosophy is present & preserved throughout the development, remaining completely immanent in its further determinations",138.0
247,"Because that which forms the beginning is still undeveloped, devoid of content, it is not truly known in the beginning;",119.0
248,It lies in the very nature of a beginning that it must be being and nothing else.,81.0
249,"Where the subject matter itself is not yet to hand, philosophy is an empty word or some assumed, unjustified conception",119.0
250,"That which begins already is, but equally, too, is not as yet.",62.0
251,"The opposites being and nonbeing are therefore directly united in the beginning, or, otherwise expressed, it is their undifferentiated unity",140.0
252,"In this sense, the abstract concept would be the first definition of the absolute & all further determinations only richer definitions of it",140.0
253,"The beginning cannot be made with anything concrete, anything containing a relation within itself",97.0
254,"That which constitutes the beginning, the beginning itself, must be taken as something unanalysable, taken in its simple unfilled immediacy",139.0
255,But the ego as such is at the same time the most concrete of all things −− the consciousness of itself as an infinitely manifold world. ,136.0
256,The pure knowing which has in truth overcome the opposition of consciousness.,77.0
257,"If something concrete is taken as the beginning, the conjunction of the determinations contained in it demand proof, and this is lacking.",137.0
258,For only in what is simple is there nothing more than the pure beginning;,73.0
259,Pedantry is thus an affected thoroughness. - kant,49.0
260,"Practical importance cannot be foreseen, one must simply wait and watch for it - kant",85.0
261,Civilization has raised this latest era so far above the ancient antithesis of reason and faith,95.0
262,"The positive element with which reason busied itself to do battle, is no longer religion, and victorious reason is no longer reason. ",133.0
263,When thought is an instinctive activity the spirit is caught up in the web of its categories and is splintered into an infinite variety,135.0
264,Here and there on this web there are knots which give stability and direction to the life and consciousness of spirit,117.0
265,"Because spirit is essentially consciousness, this self-knowledge is a fundamental determination of its actuality",112.0
266,"By the little which now satisfies spirit, we can measure the extent of its loss",79.0
267,Philosophy must beware of the wish to be edifying,49.0
268,Spirit is indeed never at rest but always engaged in moving forward,67.0
269,"The gradual crumbling that left unaltered the face of the whole is cut short by a sunburst which, in one flash, illuminates the new world",137.0
270,The truth is the whole. but the whole is nothing other than the essence consummating itself through its development,115.0
271,"If the refutation is thorough, it is developed from the principle itself, not by counter-assertions & random thoughts from the outside",134.0
272,Truth is not a minted coin that can be given and pocketed ready-made,68.0
273,The true is thus the bacchanalian revel in which no member is not drunk,71.0
274,Being is only as the movement of nothingness to nothingness,59.0
275,"Reflection, as absolute reflection, is essence shining within",61.0
276,The hour of their birth is the hour of their death,50.0
277,Contradiction is the root of all movement and life,50.0
278,"Something is alive, therefore, only to the extent that it contains contradiction within itself",94.0
279,"If a contradiction can be pointed out in something, by itself this is still not, as it were, a blemish, not a defect or failure",127.0
280,"Mind, therefore, sets out only from its own being and is in relationship only with its own determinations",105.0
281,"Mind itself is this elevation above nature and natural determinacy, and above the involvement with an external object, i.e. above the material element in general",161.0
282,"Mind is thus the absolutely universal certainty of itself, free of any opposition whatever",90.0
283,"Free mind stands, like consciousness, as one side confronting the object, and is at the same time both sides and therefore, like the soul, a totality",149.0
284,Consciousness is finite insofar as it has an object,51.0
285,The soul is finite insofar as it is determined immediately or by nature,71.0
286,"It belongs to the concept of mind that within it the absolute unity of the subjective and objective be not merely in itself, but also for itself, and therefore object of knowledge",179.0
287,"The free mind is essentially active, productive",47.0
288,"It is not philosophy's business to take such untruths of contingent reality and of representation for the truth, to take what is bad for the nature of the matter",161.0
289,"Cognition is genuine just insofar as the intelligence actualizes it, i.e. posits the concept of cognition for itself",116.0
290,"A feeling, however pure and true its content may be, has the form of contingent particularity",93.0
292,"A genuine poet, before and during the execution of his work, must meditate and think contemplatively; only in this way can he hope to extricate the heart or the soul of the matter from all the externalities in which it is shrouded",230.0
293,"The image, which in the pit of intelligence was only its property, is now, with the determination of externality, also in its possession",136.0
294,"Even the association of representations is to be conceived as subsumption of the individual representations under a universal representation, which forms the connection between them",181.0
295,"Intelligence is the power over the stock of images and representations belonging to it, and thus freely combines and subsumes this stock under its own particular content",169.0
296,"In fantasy intelligence has been perfected to self-intuition within itself, inasmuch as its content, derived from its own self, has pictorial existence",151.0
297,"The intuition, which in its immediacy is initially something given and spatial, acquires, insofar as it is used as a sign, the essential determination of occurring only as sublated",180.0
298,"The name is thus the ting, as the thing is available and carries weight in the realm of representation",102.0
300,"We obviously do not really know a composition by heart, until we attach no sense to the words",93.0
301,The recitation of what is thus known by heart therefore automatically becomes accentless [because we attach no sense to the words],130.0
302,"Intelligence knows that what is thought, is; and that what is, only is insofar as it is thought",95.0
303,"In intellectual thinking, the content is indifferent to its from, while in rational or conceptual cognition the content produces its form from its own self",155.0
304,"True freedom is ethical life, where the will has for its purposes a universal content, not subjective, i.e. self-centered, content",130.0
305,"Such [universal content of ethics] is only possible in thinking and through thinking; it is nothing less than absurd to want to exclude thinking from ethics, religion, lawfulness, &tc",183.0
306,"What more there is in feeling than in rationality is only particular subjectivity, vanity, and wilfulness",105.0
307,"The rational, which in the shape of rationality is something thought, is the same content as the good practical feeling has, but in its universality and necessity, in its objectivity and truth",192.0
308,Evil is nothing but the inadequacy of being to the ought,56.0
309,"In regard to contingent purposes, evil is only the justice that is imposed on the vanity and nullity of their devising. they themselves are already what is evil",160.0
310,"Passion is neither good nor evil; this form only expresses that a subject has placed the whole vital interest of its mind, talent, character, enjoyment in one content",166.0
311,"It only a dead, too often, indeed, a hypocritical morality which inveighs against the very form of passion",106.0
312,"The truth of particular satisfactions is the universal satisfaction, which the thinking will makes its purpose as happiness",123.0
313,"Knowledge of mind is the most concrete knowledge, and thus the highest and most difficult",89.0
314,Truth just means agreement of the concept with its actuality,60.0
315,"For us mind has nature as its presupposition, though mind is the truth of nature, and is thus absolutely first with respect to it",129.0
316,Mind is preceded not only by the lgical idea but also by external nature,72.0
317,Every determinacy is a determinacy only in contrast to another determinacy,74.0
319,"In the living creature, of course, there emerges a higher necessity than that which holds sway in lifeless things",113.0
320,The essence of mind is freedom,30.0
321,"Only when i come to apprehend myself as i, does the other become an object for me, confront me, and at the same time get posited ideally in me, and hence brought back to unity with me",183.0
322,"Consciousness as relationship involves only the categories belonging to the abstract i or to formal thinking; and these are, for it, determinations of the object",161.0
323,I grasp every object as a member in the system of what i myself am,66.0
324,"In consciousness, we see the tremendous difference, on the one side, of the i, this wholly simple entity, and on the other side, of the infinite variety of the world",165.0
325,"The oppostion of the i and the world, which does not yet come to genuine mediation here, constitutes the finitude of consciousness",130.0
326,This immediacy has no truth; we must advance from it to the essential being of the object,89.0
327,The non-living entity has no urges because it is incapable of enduring contradiction; it perishes when the other of itself forces its way into it,145.0
328,"The ensouled creature and the mind necessarily have urges, since neither the sould nor the mind can be, without having contradiction within themselves and either feeling it or being aware of it",193.0
329,The object is conformable to the desire and just for this reason desire is aroused by the object,96.0
331,"Happiness is distinguished from well-being only in this, that happiness is conceived just as an immediate reality, whereas well-being is regarded as justifiable in relation to morality",184.0
332,"To the subject, who in the reality of his freedom essentially becomes a particular, his interest and well-being ought, because of the reality of his freedom, to be an essential aim and therefore a duty",201.0
333,"The good is thus posited as a contingency for the subject, who can therefore resolve on something opposed to the good, can be evil",130.0
334,"“genuine evil consists in our will not to resist the inclinations when they invite transgression"" - kant",104.0
335,"It is imagined that what philosophy puts forward is as ephemeral a product as penelope's weaving, which is begun afresh each day (pr 10)",136.0
336,"In science, the content is essentially inseparable from the form (pr 10)",72.0
337,"The truth concerning right, ethics, and the state is at any rate as old as its exposition and promulgation in public laws and in public morality and religion (pr 11)",165.0
338,The simple reaction of ingenuous is to adhere with trusting conviction to the publicly recognized truth and to base one's conduct and fixed position in life on this firm foundation (pr 11),188.0
339,"The state, or reason as it actualizes itself in the element of self-consciousness (pr 12)",89.0
340,"The human being does not stop short at the extent, but claims to have within himself the measure of what is right (pr 13)",121.0
341,"In nature, the highest truth is that a law exists at all; in laws of right, however, the thing is not valid because it exists; on the contrary, everyone demands that it should match their own criterion (pr 13)",209.0
342,"Everyone has fingers and can take a brush and paint, but that does not make them a painter. it is precisely the same with thinking. (pr 14)",139.0
343,The concept of the thing does not come to us by nature (pr 14),62.0
344,"Genuine thought is not an opinion about something, but the concept of the thing itself (pr 14)",94.0
345,"Everyone, whatever his condition, is convinced that he knows all about philosophy in general and can pass judgement upon it (pr 15)",131.0
346,"Do but despise reason & science / the highest of human gifts - / then you have surrendered to the devil / and must surely perish - goethe (quoted by hegel, pr 16)",162.0
347,The form of rationality - namely universality and determinacy (pr 17),69.0
348,"Since philosophy is exploration of the rational, it is for that the comprehension of the present & the actual, not the setting up of a world beyond, which exists god knows where (pr 20)",185.0
349,What matters is to recognize in the semblance of the temporal and transient the substance which is immanent and the eternal which is present (pr 20),148.0
350,"To comprehend what is is the task of philosophy, for what is is reason (pr 21)",78.0
351,What lies between reason as self-conscious spirit and reason as present actuality... is the fetter of some abstraction or other that has not been liberated into the concept (pr 22),180.0
352,The peace which cognition establishes with the actual world has more warmth in it than this (pr 23),99.0
353,"When philosophy paints its grey in grey, a shape of life has grown old, and cannot be rejuvenated, but only recognized (pr 23)",126.0
354,The owl of minerva begins its flight only with the onset of dusk (pr 23),72.0
355,"The author will regard any criticism expressed in a form other than that of scientific discussion merely as a subjective postscript and random assertion, and will treat it with indifference (pr 23)",197.0
356,Philosophy has to do with ideas and therefore not with what are commonly described as mere concepts (pr 25),107.0
357,The subject-matter of the philosophical science of right is the idea of right - the concept of right and its actualization (pr 25),130.0
358,"Everything other than this actuality which is posited by the concept itself is transitory existence, external contingency, opinion, appearance without essence, untruth, deception, etc. (pr 25)",192.0
359,"The concept and its existence are two aspects of the same thing, separate and united, like soul and body (pr 25)",112.0
360,"The buds have the tree within them and contain its entire strength, although they are not yet the tree itself (pr 25)",117.0
361,"The unity of existence and the concept, of body and soul, is the idea (pr 26)",77.0
362,Nothing lives which is not in some way idea (pr 26),51.0
363,"Given that its content is necessary for itself, the second step is to look around for what corresponds to it in our ideas and language (pr 27)",142.0
